tiempo;cpu
0.0018756;0.0;fallas1;218
7.289E-4;0.0;fallas2;205
5.962E-4;0.0;fallas3;193
4.924E-4;0.0;fallas4;189
5.725E-4;0.0;fallas5;193
0.0021821;87.5;fallas6;194
8.557E-4;87.5;fallas7;195
5.107E-4;87.5;fallas8;228
4.236E-4;87.5;fallas9;192
4.309E-4;87.5;fallas10;190
7.54E-4;87.5
0.0018587;87.5
4.849E-4;73.8
5.257E-4;73.8
4.852E-4;73.8
4.514E-4;73.8
4.685E-4;73.8
5.82E-4;73.8
3.501E-4;73.8
5.188E-4;73.8
4.143E-4;73.8
3.661E-4;46.8
4.61E-4;46.8
3.857E-4;46.8
3.345E-4;46.8
3.97E-4;46.8
5.053E-4;46.8
5.025E-4;46.8
5.323E-4;46.8
3.741E-4;46.8
6.603E-4;52.5
3.675E-4;52.5
4.086E-4;52.5
4.277E-4;52.5
5.052E-4;52.5
3.987E-4;52.5
4.015E-4;52.5
4.097E-4;52.5
3.609E-4;64.5
3.208E-4;64.5
5.488E-4;64.5
4.243E-4;64.5
3.907E-4;64.5
3.237E-4;64.5
3.447E-4;64.5
3.135E-4;64.5
3.537E-4;64.5
3.177E-4;35.8
3.221E-4;35.8
5.872E-4;35.8
3.019E-4;35.8
3.648E-4;35.8
3.816E-4;35.8
4.238E-4;35.8
3.204E-4;35.8
3.49E-4;35.8
3.658E-4;51.3
2.83E-4;51.3
3.248E-4;51.3
3.644E-4;51.3
3.102E-4;51.3
2.99E-4;51.3
3.025E-4;51.3
4.328E-4;51.3
3.486E-4;51.3
3.397E-4;45.5
2.615E-4;45.5
3.853E-4;45.5
2.887E-4;45.5
3.071E-4;45.5
6.608E-4;45.5
0.0018892;45.5
3.239E-4;45.5
4.246E-4;50.5
2.49E-4;50.5
3.243E-4;50.5
7.373E-4;50.5
4.014E-4;50.5
3.365E-4;50.5
2.921E-4;50.5
2.57E-4;50.5
3.279E-4;50.5
3.016E-4;59.2
3.032E-4;59.2
3.44E-4;59.2
3.038E-4;59.2
2.72E-4;59.2
2.597E-4;59.2
4.966E-4;59.2
2.861E-4;59.2
2.639E-4;59.2
3.18E-4;40.8
3.514E-4;40.8
3.441E-4;40.8
2.919E-4;40.8
4.897E-4;40.8
2.765E-4;40.8
2.547E-4;40.8
4.503E-4;40.8
4.672E-4;69.4
4.034E-4;69.4
2.037E-4;69.4
2.997E-4;69.4
1.972E-4;69.4
6.624E-4;69.4
2.647E-4;69.4
4.355E-4;49.2
2.519E-4;49.2
3.38E-4;49.2
3.387E-4;49.2
2.081E-4;49.2
2.42E-4;49.2
2.4E-4;49.2
2.825E-4;49.2
3.64E-4;60.4
4.227E-4;60.4
3.158E-4;60.4
3.108E-4;60.4
3.157E-4;60.4
5.05E-4;60.4
2.641E-4;60.4
3.909E-4;59.3
3.062E-4;59.3
2.857E-4;59.3
2.612E-4;59.3
3.301E-4;59.3
3.292E-4;59.3
3.59E-4;59.3
2.554E-4;45.9
2.651E-4;45.9
2.166E-4;45.9
3.043E-4;45.9
2.998E-4;45.9
3.075E-4;45.9
2.617E-4;45.9
2.75E-4;45.9
2.739E-4;45.9
2.592E-4;43.2
3.039E-4;43.2
2.753E-4;43.2
3.409E-4;43.2
2.061E-4;43.2
2.619E-4;43.2
2.765E-4;43.2
2.645E-4;43.2
2.441E-4;43.2
2.701E-4;43.2
2.595E-4;44.5
2.475E-4;44.5
2.741E-4;44.5
2.725E-4;44.5
2.844E-4;44.5
2.577E-4;44.5
3.817E-4;44.5
2.472E-4;44.5
3.252E-4;44.5
2.526E-4;44.5
2.69E-4;43.1
3.459E-4;43.1
4.703E-4;43.1
2.675E-4;43.1
2.58E-4;43.1
2.986E-4;43.1
3.16E-4;43.1
2.707E-4;43.1
1.91E-4;43.1
3.17E-4;52.0
3.83E-4;52.0
3.081E-4;52.0
2.973E-4;52.0
3.624E-4;52.0
2.691E-4;52.0
2.699E-4;52.0
2.538E-4;34.4
3.08E-4;34.4
3.161E-4;34.4
2.793E-4;34.4
4.234E-4;34.4
3.229E-4;34.4
2.448E-4;34.4
2.928E-4;34.4
2.628E-4;34.4
4.207E-4;26.7
3.469E-4;26.7
3.728E-4;26.7
6.674E-4;26.7
4.051E-4;26.7
3.009E-4;26.7
3.007E-4;26.7
3.495E-4;26.7
4.089E-4;73.1
3.056E-4;73.1
3.585E-4;73.1
0.0026028;73.1
2.547E-4;73.1
3.155E-4;73.1
3.471E-4;88.1
5.453E-4;88.1
3.037E-4;88.1
2.821E-4;88.1
2.837E-4;88.1
3.815E-4;88.1
2.959E-4;82.1
2.827E-4;82.1
7.521E-4;82.1
3.071E-4;82.1
4.64E-4;82.1
3.38E-4;82.1
3.935E-4;82.1
4.031E-4;82.1
2.522E-4;82.1
2.676E-4;60.0
5.481E-4;60.0
2.587E-4;60.0
2.741E-4;60.0
3.139E-4;60.0
3.114E-4;60.0
2.65E-4;60.0
4.533E-4;66.8
3.318E-4;66.8
2.59E-4;66.8
3.253E-4;66.8
3.168E-4;66.8
2.875E-4;66.8
3.735E-4;66.8
3.003E-4;66.8
2.859E-4;51.7
3.078E-4;51.7
3.144E-4;51.7
2.496E-4;51.7
4.255E-4;51.7
2.873E-4;51.7
2.561E-4;51.7
2.531E-4;51.7
2.826E-4;51.7
5.716E-4;50.4
4.313E-4;50.4
5.347E-4;50.4
0.0011669;50.4
2.659E-4;50.4
3.481E-4;50.4
3.262E-4;50.4
2.727E-4;50.4
2.44E-4;58.7
3.427E-4;58.7
3.329E-4;58.7
3.2E-4;58.7
2.428E-4;58.7
2.195E-4;58.7
5.651E-4;58.7
3.02E-4;58.3
5.545E-4;58.3
3.107E-4;58.3
2.382E-4;58.3
3.627E-4;58.3
2.75E-4;58.3
3.162E-4;58.3
3.034E-4;58.3
2.597E-4;56.0
2.322E-4;56.0
2.611E-4;56.0
2.653E-4;56.0
2.846E-4;56.0
2.489E-4;56.0
2.484E-4;56.0
3.151E-4;56.0
2.413E-4;58.8
4.587E-4;58.8
2.443E-4;58.8
2.575E-4;58.8
3.572E-4;58.8
