tiempo;cpu
2.415E-4;64.1
3.718E-4;64.1
2.196E-4;64.1
2.085E-4;64.1
2.758E-4;64.1
2.252E-4;64.1
2.332E-4;64.1
2.635E-4;53.8
2.498E-4;53.8
2.406E-4;53.8
2.502E-4;53.8
2.494E-4;53.8
7.537E-4;53.8
2.566E-4;53.8
4.713E-4;53.8
2.485E-4;64.9
2.426E-4;64.9
2.409E-4;64.9
3.072E-4;64.9
2.36E-4;64.9
2.154E-4;64.9
2.452E-4;64.9
2.538E-4;64.9
2.391E-4;64.9
2.272E-4;43.3
2.018E-4;43.3
2.44E-4;43.3
2.288E-4;43.3
2.099E-4;43.3
1.914E-4;43.3
2.188E-4;43.3
3.798E-4;43.3
2.518E-4;43.3
2.629E-4;43.7
5.87E-4;43.7
3.581E-4;43.7
2.868E-4;43.7
2.137E-4;43.7
4.728E-4;43.7
2.48E-4;43.7
2.422E-4;43.7
2.409E-4;43.7
2.345E-4;45.0
2.581E-4;45.0
2.287E-4;45.0
2.551E-4;45.0
2.39E-4;45.0
3.17E-4;45.0
2.512E-4;45.0
3.0E-4;45.0
2.625E-4;45.0
2.272E-4;37.1
2.873E-4;37.1
3.007E-4;37.1
2.486E-4;37.1
2.538E-4;37.1
2.374E-4;37.1
3.105E-4;37.1
2.268E-4;37.1
2.969E-4;37.1
2.504E-4;57.0
2.343E-4;57.0
2.749E-4;57.0
4.068E-4;57.0
2.778E-4;57.0
2.714E-4;57.0
2.433E-4;57.0
6.429E-4;57.0
3.877E-4;57.0
2.088E-4;63.5
5.395E-4;63.5
3.266E-4;63.5
2.231E-4;63.5
2.437E-4;63.5
6.297E-4;63.5
3.706E-4;63.5
2.879E-4;63.5
2.396E-4;63.5
3.068E-4;51.8
2.36E-4;51.8
2.222E-4;51.8
2.553E-4;51.8
2.512E-4;51.8
2.798E-4;51.8
2.486E-4;51.8
2.577E-4;51.8
2.283E-4;51.8
2.53E-4;51.8
2.657E-4;34.3
2.532E-4;34.3
2.275E-4;34.3
1.949E-4;34.3
2.359E-4;34.3
2.7E-4;34.3
2.502E-4;34.3
2.818E-4;34.3
3.478E-4;34.3
2.28E-4;34.3
2.327E-4;34.1
2.322E-4;34.1
2.204E-4;34.1
2.261E-4;34.1
2.673E-4;34.1
3.252E-4;34.1
2.399E-4;34.1
2.152E-4;34.1
2.389E-4;34.1
2.38E-4;34.1
2.061E-4;31.7
2.333E-4;31.7
2.343E-4;31.7
2.284E-4;31.7
2.568E-4;31.7
4.165E-4;31.7
3.231E-4;31.7
2.722E-4;31.7
3.72E-4;31.7
2.456E-4;31.7
3.566E-4;38.8
2.729E-4;38.8
6.515E-4;38.5
3.681E-4;38.5
2.784E-4;38.5
2.613E-4;38.5
3.34E-4;38.5
2.855E-4;38.5
2.759E-4;38.5
2.942E-4;38.5
2.609E-4;70.8
4.094E-4;70.8
2.712E-4;70.8
0.0013737;70.8
3.724E-4;70.8
2.874E-4;70.8
0.0010734;70.8
9.375E-4;89.2
2.342E-4;89.2
3.938E-4;89.2
2.25E-4;89.2
2.364E-4;89.2
3.578E-4;89.2
2.511E-4;89.2
3.441E-4;79.7
2.743E-4;79.7
2.652E-4;79.7
3.163E-4;79.7
3.57E-4;79.7
2.729E-4;79.7
2.622E-4;79.7
2.546E-4;79.7
3.092E-4;79.7
2.496E-4;79.7
2.582E-4;32.5
3.133E-4;32.5
3.085E-4;32.5
3.219E-4;32.5
2.354E-4;32.5
3.84E-4;32.5
3.546E-4;32.5
2.236E-4;32.5
3.246E-4;32.5
2.593E-4;32.5
3.931E-4;34.4
3.339E-4;34.4
2.331E-4;34.4
3.276E-4;34.4
2.74E-4;34.4
3.47E-4;34.4
3.459E-4;34.4
2.419E-4;34.4
3.779E-4;34.4
2.787E-4;34.4
2.362E-4;36.8
3.365E-4;36.8
2.381E-4;36.8
4.458E-4;36.8
2.497E-4;36.8
2.406E-4;36.8
2.708E-4;36.8
2.648E-4;36.8
2.532E-4;36.8
2.225E-4;36.8
3.378E-4;46.0
2.517E-4;46.0
2.193E-4;46.0
1.866E-4;46.0
1.668E-4;46.0
2.471E-4;46.0
2.25E-4;46.0
2.231E-4;46.0
2.224E-4;46.0
2.39E-4;46.0
3.479E-4;44.0
2.176E-4;44.0
2.194E-4;44.0
2.315E-4;44.0
2.136E-4;44.0
2.465E-4;44.0
2.245E-4;44.0
2.426E-4;44.0
3.602E-4;44.0
2.321E-4;44.0
2.185E-4;44.0
3.074E-4;44.0
3.059E-4;44.0
2.159E-4;44.0
2.48E-4;44.0
2.343E-4;44.0
2.57E-4;44.0
2.122E-4;44.0
2.304E-4;44.0
2.144E-4;55.1
2.211E-4;55.1
1.981E-4;55.1
2.332E-4;55.1
2.193E-4;55.1
2.457E-4;55.1
2.295E-4;55.1
2.535E-4;55.1
2.466E-4;55.1
2.396E-4;55.1
2.122E-4;41.6
4.237E-4;41.6
2.315E-4;41.6
1.695E-4;41.6
2.098E-4;41.6
2.1E-4;41.6
2.424E-4;41.6
2.123E-4;41.6
2.814E-4;41.6
2.097E-4;46.1
2.355E-4;46.1
2.338E-4;46.1
2.363E-4;46.1
1.999E-4;46.1
2.135E-4;46.1
2.138E-4;46.1
2.35E-4;46.1
1.945E-4;46.1
2.671E-4;43.8
2.199E-4;43.8
1.908E-4;43.8
1.621E-4;43.8
2.073E-4;43.8
4.286E-4;43.8
2.111E-4;43.8
2.837E-4;43.8
0.0013954;43.8
2.339E-4;43.4
2.174E-4;43.4
2.119E-4;43.4
2.502E-4;43.4
1.783E-4;43.4
2.571E-4;43.4
1.875E-4;43.4
2.204E-4;43.4
3.139E-4;43.4
2.151E-4;43.4
1.605E-4;40.9
2.232E-4;40.9
2.096E-4;40.9
2.045E-4;40.9
2.078E-4;40.9
2.385E-4;40.9
2.33E-4;40.9
2.05E-4;40.9
2.218E-4;40.9
2.12E-4;40.9
1.617E-4;40.8
2.134E-4;40.8
2.836E-4;40.8
2.212E-4;40.8
2.241E-4;40.8
6.38E-4;40.8
2.684E-4;40.8
2.258E-4;40.8
3.055E-4;40.8
1.793E-4;40.8
1.779E-4;37.6
3.295E-4;37.6
1.94E-4;37.6
2.108E-4;37.6
1.878E-4;37.6
2.068E-4;37.6
2.467E-4;37.6
2.041E-4;37.6
2.07E-4;37.6
1.65E-4;37.6
2.393E-4;40.5
2.165E-4;40.5
2.655E-4;40.5
1.771E-4;40.5
2.927E-4;40.5
2.56E-4;40.5
2.646E-4;40.5
2.764E-4;40.5
2.082E-4;40.5
2.121E-4;40.5
4.502E-4;37.7
3.235E-4;37.7
2.902E-4;37.7
2.323E-4;37.7
2.08E-4;37.7
2.407E-4;37.7
2.455E-4;37.7
2.663E-4;37.7
2.303E-4;37.7
2.01E-4;37.7
2.825E-4;34.9
2.504E-4;34.9
2.477E-4;34.9
3.068E-4;34.9
3.003E-4;34.9
2.086E-4;34.9
2.125E-4;34.9
1.83E-4;34.9
3.134E-4;34.9
5.743E-4;36.2
4.618E-4;36.2
3.641E-4;36.2
2.156E-4;36.2
2.079E-4;36.2
2.154E-4;36.2
2.212E-4;36.2
2.028E-4;36.2
5.503E-4;36.2
2.0E-4;36.2
1.695E-4;42.0
2.005E-4;42.0
2.493E-4;42.0
2.417E-4;42.0
2.064E-4;42.0
3.143E-4;42.0
3.183E-4;42.0
2.171E-4;42.0
2.577E-4;42.0
2.662E-4;42.0
2.77E-4;35.2
3.728E-4;33.3
3.739E-4;33.3
3.02E-4;33.3
7.359E-4;33.3
2.777E-4;33.3
2.449E-4;33.3
3.769E-4;33.3
2.831E-4;73.0
3.057E-4;73.0
5.114E-4;73.0
3.367E-4;73.0
2.671E-4;73.0
3.031E-4;73.0
2.595E-4;73.0
2.635E-4;80.2
0.0024094;80.2
3.325E-4;80.2
2.759E-4;80.2
2.182E-4;80.2
2.38E-4;80.2
2.305E-4;82.1
3.157E-4;82.1
2.434E-4;82.1
3.525E-4;82.1
2.59E-4;82.1
2.934E-4;82.1
3.622E-4;82.1
3.652E-4;82.1
2.531E-4;82.1
2.327E-4;82.1
2.329E-4;37.9
2.344E-4;37.9
3.253E-4;37.9
2.568E-4;37.9
2.879E-4;37.9
2.382E-4;37.9
2.463E-4;37.9
2.953E-4;37.9
2.32E-4;37.9
2.301E-4;41.9
2.483E-4;41.9
2.239E-4;41.9
3.621E-4;41.9
3.223E-4;41.9
2.498E-4;41.9
2.58E-4;41.9
2.842E-4;41.9
2.746E-4;41.9
2.136E-4;41.9
2.331E-4;41.6
3.02E-4;41.6
2.131E-4;41.6
1.981E-4;41.6
3.418E-4;41.6
2.796E-4;41.6
2.719E-4;41.6
2.61E-4;41.6
3.969E-4;41.6
2.68E-4;47.8
3.864E-4;47.8
4.47E-4;47.8
3.301E-4;47.8
2.19E-4;47.8
2.017E-4;47.8
5.955E-4;47.8
2.155E-4;47.8
2.409E-4;47.8
1.95E-4;45.7
2.248E-4;45.7
2.638E-4;45.7
2.52E-4;45.7
2.543E-4;45.7
2.141E-4;45.7
2.139E-4;45.7
2.17E-4;45.7
2.048E-4;45.7
2.061E-4;53.8
2.517E-4;53.8
2.423E-4;53.8
2.202E-4;53.8
2.016E-4;53.8
1.905E-4;53.8
1.966E-4;53.8
2.149E-4;53.8
2.485E-4;53.8
3.239E-4;51.5
1.91E-4;51.5
2.149E-4;51.5
4.221E-4;51.5
2.071E-4;51.5
2.362E-4;51.5
2.381E-4;51.5
2.38E-4;51.5
3.112E-4;42.7
2.06E-4;42.7
4.484E-4;42.7
2.253E-4;42.7
2.29E-4;42.7
2.775E-4;42.7
1.931E-4;42.7
1.892E-4;42.7
2.323E-4;42.7
2.507E-4;49.3
2.078E-4;49.3
2.189E-4;49.3
2.397E-4;49.3
2.81E-4;49.3
2.237E-4;49.3
2.049E-4;49.3
3.192E-4;49.3
2.317E-4;49.3
2.757E-4;39.2
2.638E-4;39.2
2.06E-4;39.2
2.062E-4;39.2
2.161E-4;39.2
1.786E-4;39.2
2.388E-4;39.2
2.003E-4;39.2
1.998E-4;39.2
2.07E-4;40.3
1.755E-4;40.3
1.954E-4;40.3
2.834E-4;40.3
2.756E-4;40.3
2.045E-4;40.3
2.395E-4;40.3
2.387E-4;40.3
2.474E-4;40.3
1.991E-4;39.7
3.266E-4;39.7
9.913E-4;39.7
2.116E-4;39.7
2.111E-4;39.7
2.047E-4;39.7
1.812E-4;39.7
2.115E-4;39.7
1.736E-4;39.7
2.275E-4;41.5
0.0010715;41.5
2.031E-4;41.5
2.358E-4;41.5
2.199E-4;41.5
2.063E-4;41.5
2.366E-4;41.5
2.205E-4;41.5
2.457E-4;41.5
2.822E-4;44.8
2.688E-4;44.8
2.492E-4;44.8
2.21E-4;44.8
2.178E-4;44.8
2.178E-4;44.8
2.422E-4;44.8
2.583E-4;44.8
2.264E-4;44.8
2.009E-4;41.0
1.998E-4;41.0
1.894E-4;41.0
1.801E-4;41.0
2.472E-4;41.0
2.169E-4;41.0
1.997E-4;41.0
2.138E-4;41.0
2.699E-4;41.0
2.489E-4;41.0
2.64E-4;43.9
2.076E-4;43.9
3.266E-4;43.9
3.155E-4;43.9
2.366E-4;43.9
2.024E-4;43.9
2.259E-4;43.9
2.925E-4;43.9
3.327E-4;43.9
2.917E-4;43.9
2.533E-4;39.3
2.662E-4;39.3
2.629E-4;39.3
2.468E-4;39.3
1.961E-4;39.3
2.834E-4;39.3
2.39E-4;39.3
2.521E-4;39.3
2.983E-4;39.3
2.603E-4;39.3
1.98E-4;34.5
1.73E-4;34.5
2.427E-4;34.5
2.177E-4;34.5
