tiempo;cpu
0.6551283;0.0;fallas1;235
0.0047292;0.0;fallas2;209
0.0039442;0.0;fallas3;208
0.0045727;0.0;fallas4;218
0.0048164;0.0;fallas5;202
0.0057334;36.4;fallas6;203
0.0040524;36.4;fallas7;211
0.0078662;36.4;fallas8;203
0.0039779;36.4;fallas9;203
0.005055;36.4;fallas10;206
0.0124383;36.4
0.0036917;36.4
0.0032086;61.0
0.0039074;61.0
0.0122896;61.0
0.0044827;61.0
0.0075701;61.0
0.0037127;61.0
0.002964;61.0
0.0029836;61.0
0.0045696;61.0
0.0033324;47.3
0.0031031;47.3
0.0031977;47.3
0.0034217;47.3
0.0040844;47.3
0.0043423;47.3
0.003176;47.3
0.0027659;47.3
0.0027123;47.3
0.0036617;43.6
0.0037739;43.6
0.0032198;43.6
0.003518;43.6
0.003659;43.6
0.0026285;43.6
0.00411;43.6
0.0027775;43.6
0.0029004;43.6
0.0026802;39.4
0.0030089;39.4
0.0032228;39.4
0.005498;39.4
0.0025904;39.4
0.0034776;39.4
0.0029263;39.4
0.0031833;39.4
0.0031316;53.9
0.0033887;53.9
0.0026617;53.9
0.003832;53.9
0.0039111;53.9
0.0046794;53.9
0.0026543;53.9
0.0035274;53.9
0.0034457;46.3
0.0027203;46.3
0.0031524;46.3
0.0024511;46.3
0.0025605;46.3
0.0025433;46.3
0.005638;46.3
0.003376;46.3
0.0033016;46.3
0.0028172;53.1
0.0026899;53.1
0.0023824;53.1
0.0024597;53.1
0.0024335;53.1
0.0026398;53.1
0.0032779;53.1
0.0023943;53.1
0.0039454;53.1
0.0031891;52.3
0.0037618;52.3
0.004171;52.3
0.0028695;52.3
0.0027518;52.3
0.0032394;52.3
0.0024255;52.3
0.0031019;52.3
0.0031921;61.8
0.0038453;61.8
0.003998;61.8
0.0030601;61.8
0.0034982;61.8
0.0029856;61.8
0.0032923;61.8
0.0034977;61.8
0.0043014;63.6
0.0023884;63.6
0.0023797;63.6
0.0026703;63.6
0.0025368;63.6
0.0027965;63.6
0.0037553;63.6
0.0025525;63.6
0.002931;44.0
0.0023964;44.0
0.0030314;44.0
0.0031259;44.0
0.00246;44.0
0.0037887;44.0
0.0026305;44.0
0.0030937;40.0
0.0023245;40.0
0.002433;40.0
0.0023796;40.0
0.0024141;40.0
0.0022765;40.0
0.0023616;40.0
0.0023917;40.0
0.0023511;40.0
0.0027266;41.7
0.0031316;41.7
0.0030966;41.7
0.003509;41.7
0.0026889;41.7
0.0022318;41.7
0.0021482;41.7
0.0036825;41.7
0.0035618;41.7
0.0027784;48.9
0.0033891;48.9
0.0025058;48.9
0.0024441;48.9
0.0023863;48.9
0.003418;48.9
0.0030542;48.9
0.00223;48.9
0.0022448;48.9
0.0028233;48.9
0.0023029;36.5
0.0027463;36.5
0.0021872;36.5
0.0024048;36.5
0.0025031;36.5
0.0025552;36.5
0.0024479;36.5
0.0020932;36.5
0.0021677;36.5
0.00304;36.5
0.0021253;38.5
0.0023783;38.5
0.0026777;38.5
0.0021835;38.5
0.0021558;38.5
0.0021949;38.5
0.0023142;38.5
0.0023055;38.5
0.0029698;38.5
0.0029326;38.5
0.0020731;34.1
0.0021949;34.1
0.0021327;34.1
0.0024091;34.1
0.0023285;34.1
0.0021454;34.1
0.0023021;34.1
0.0029649;34.1
0.0031867;34.1
0.0019308;40.0
0.0030035;40.0
0.0044205;40.0
0.0036728;40.0
0.0256605;30.1
0.003019;30.1
0.0035885;30.1
0.0037596;30.1
0.002409;30.1
0.0030745;30.1
0.0035404;82.4
0.0029105;82.4
0.0032722;82.4
0.0046229;82.4
0.0094403;82.4
0.003657;86.1
0.0030519;86.1
0.0034392;86.1
0.003444;86.1
0.0028265;86.1
0.0029208;86.1
0.0027342;86.1
0.0021962;86.1
0.0027377;86.1
0.0037963;38.9
0.0051318;38.9
0.0024723;38.9
0.0028689;38.9
0.003013;38.9
0.0026313;38.9
0.0034747;38.9
0.0026902;38.9
0.0024438;38.9
0.0026668;42.6
0.0035004;42.6
0.0043124;42.6
0.0023648;42.6
0.0024808;42.6
0.0025651;42.6
0.0033175;42.6
0.0023104;42.6
0.0022661;42.6
0.0028105;59.2
0.0021613;59.2
0.0021225;59.2
0.0034848;59.2
0.0029568;59.2
0.0023137;59.2
0.0024657;59.2
0.0031791;59.2
0.0024447;59.2
0.0028555;41.7
0.0028095;41.7
0.0020769;41.7
0.004118;41.7
0.0029997;41.7
0.0024699;41.7
0.0020957;41.7
0.002263;41.7
0.0023644;44.8
0.0028102;44.8
0.0029074;44.8
0.0023884;44.8
0.0087574;44.8
0.0030342;44.8
0.0023167;44.8
0.0022163;44.8
0.0026487;49.2
0.0036298;49.2
0.0020567;49.2
0.0022079;49.2
0.0033115;49.2
0.0029038;49.2
0.0024877;49.2
0.0028374;49.2
0.0025466;49.2
0.0022057;44.3
0.0020972;44.3
0.0022891;44.3
0.0023207;44.3
0.0025139;44.3
0.0022123;44.3
0.0027856;44.3
0.0022066;44.3
0.0022066;44.3
0.008825;46.1
0.0022416;46.1
0.0020545;46.1
0.0021704;46.1
0.0036178;46.1
0.002553;46.1
0.0020993;46.1
0.0023557;46.1
0.0038288;46.1
0.0032086;45.4
0.0033143;45.4
0.0022336;45.4
0.0043326;45.4
0.0022815;45.4
0.0032372;45.4
0.0026502;45.4
0.0022006;45.4
0.0020379;45.4
0.0023497;44.2
0.0039019;44.2
0.002614;44.2
0.003016;44.2
0.0027686;44.2
0.0019382;44.2
0.0020251;44.2
0.0022777;44.2
0.0024536;44.2
