tiempo;cpu
0.7525412;0.0;fallas1;0
0.0034066;0.0;fallas2;0
0.0060987;0.0;fallas3;0
0.0045919;0.0;fallas4;0
0.0038457;0.0;fallas5;0
0.0036158;0.0;fallas6;0
0.003893;0.0;fallas7;0
0.0034338;0.0;fallas8;0
0.0032926;35.4;fallas9;0
0.0042977;35.4;fallas10;0
0.0046317;35.4
0.0046841;35.4
0.0038803;35.4
0.0044576;35.4
0.0049708;35.4
0.0047828;35.4
0.0037246;35.4
0.0039629;45.2
0.00383;45.2
0.0029849;45.2
0.0040176;45.2
0.004199;45.2
0.0032045;45.2
0.002797;45.2
0.0032421;45.2
0.0026583;45.2
0.0028668;46.8
0.0032773;46.8
0.0025676;46.8
0.0025449;46.8
0.0034787;46.8
0.002934;46.8
0.0036382;46.8
0.0029692;46.8
0.0035495;46.8
0.0027397;38.5
0.0037067;38.5
0.0025438;38.5
0.0036271;38.5
0.0029301;38.5
0.0036764;38.5
0.0026966;38.5
0.0046141;38.5
0.0027248;38.5
0.003443;38.7
0.0027169;38.7
0.0025319;38.7
0.0028968;38.7
0.0025422;38.7
0.0029013;38.7
0.002477;38.7
0.0043867;38.7
0.0031139;38.7
0.0029982;42.1
0.0026406;42.1
0.0034;42.1
0.0028453;42.1
0.0034708;42.1
0.0028263;42.1
0.0026154;42.1
0.0030667;42.1
0.0094885;39.1
0.0037538;39.1
0.0031401;39.1
0.0025783;39.1
0.0024815;39.1
0.0023689;39.1
0.003075;39.1
0.0023722;39.1
0.0040035;39.1
0.002585;39.3
0.0027897;39.3
0.0029598;39.3
0.0030301;39.3
0.0032786;39.3
0.0035813;39.3
0.0037421;32.8
0.0024397;32.8
0.00229;32.8
0.0029623;32.8
0.0282312;34.0
0.0038127;34.0
0.0039284;34.0
0.0075742;34.0
0.0036894;34.0
0.0039214;34.0
0.0038357;91.0
0.003313;91.0
0.0038383;91.0
0.0075866;91.0
0.0055526;91.0
0.0056323;91.0
0.002571;81.3
0.0036055;81.3
0.0056856;81.3
0.0029861;81.3
0.002608;81.3
0.0024349;81.3
0.0023262;81.3
0.0023398;81.3
0.0025003;81.3
0.0026053;48.6
0.0030252;48.6
0.0031232;48.6
0.0031923;48.6
0.0025847;48.6
0.0023795;48.6
0.0025225;48.6
0.0037614;48.6
0.0059771;48.6
0.0029537;38.5
0.0029715;38.5
0.0030829;38.5
0.0024164;38.5
0.0027321;38.5
0.0024086;38.5
0.0040452;38.5
0.0032936;38.5
0.0024577;34.7
0.0029909;34.7
0.0025456;34.7
0.0033416;34.7
0.0038633;34.7
0.0023426;29.5
0.0026954;29.5
0.0036215;29.5
0.0033843;29.5
0.004588;29.5
0.0026604;32.5
0.0038689;32.5
0.0023963;32.5
0.0026726;32.5
0.0036447;32.5
0.0033939;38.3
0.0025745;38.3
0.0030032;38.3
0.0069312;38.3
0.0041972;38.3
0.0024599;36.0
0.0035466;36.0
0.0024066;36.0
0.002484;36.0
0.0035191;36.0
0.002789;31.3
0.0023837;31.3
0.0031439;31.3
0.002164;31.3
0.0037615;31.3
0.0028534;28.3
0.0022521;28.3
0.0025488;28.3
0.0022826;28.3
0.0035437;28.3
0.003213;27.7
0.0040859;27.7
0.0030186;27.7
0.0038909;27.7
0.0035083;27.7
0.0029428;30.7
0.0027849;30.7
0.0271158;37.1
0.0041822;37.1
0.0029137;37.1
0.0036537;37.1
0.0039298;37.1
0.0027722;37.1
0.002602;80.1
0.002991;80.1
0.0051748;80.1
0.0044653;80.1
0.005141;80.1
0.0032548;80.1
0.0023694;80.2
0.0034878;80.2
0.005066;80.2
0.0031781;80.2
0.0023438;80.2
0.0034305;80.2
0.0022545;80.2
0.002502;80.2
0.0033458;80.2
0.0023713;50.5
0.0029076;50.5
0.0022862;50.5
0.0026061;50.5
0.0027452;50.5
0.0024815;50.5
0.0021124;50.5
0.0036596;50.5
0.0030433;50.5
0.0023114;39.9
0.0035706;39.9
0.0024425;39.9
0.0022779;39.9
0.0024095;39.9
0.002371;39.9
0.0032169;39.9
0.0029411;39.9
0.0028457;44.6
0.002564;44.6
0.0023133;44.6
0.0034487;44.6
0.0025347;44.6
0.0032538;30.2
0.0036744;30.2
0.0024853;30.2
0.0021806;30.2
0.0038673;30.2
0.0024165;30.2
0.0023523;34.2
0.0022882;34.2
0.0032291;34.2
0.0035589;34.2
0.0023175;34.2
0.0037548;27.9
0.0022291;27.9
0.0022573;27.9
0.0033429;27.9
0.0026997;27.9
0.0022363;27.9
0.0026048;27.5
0.0028535;27.5
0.0041105;27.5
0.0029522;27.5
0.0139732;27.5
0.0027293;39.3
0.0030006;39.3
0.0026207;39.3
0.0025382;39.3
0.0022766;39.3
0.0024721;22.4
0.0022163;22.4
0.0021136;22.4
0.0021685;22.4
0.0091693;22.4
0.0022164;30.5
0.003011;30.5
0.0022366;30.5
0.0035895;30.5
0.0025543;30.5
0.0247078;35.8
0.0029811;35.8
0.0029115;35.8
0.0035764;35.8
0.0037792;35.8
0.0032296;35.8
0.0036711;85.9
0.0036291;85.9
0.0039603;85.9
0.0024914;85.9
0.0023814;85.9
0.0021548;85.9
0.0023355;85.9
0.0024563;65.9
0.003404;65.9
0.0039378;65.9
0.0030484;65.9
0.0037299;65.9
0.0020688;65.9
0.0022303;65.9
0.00283;65.9
0.0022295;65.9
0.0026626;40.7
0.0022272;40.7
0.0021284;40.7
0.0030331;40.7
0.0030366;40.7
0.0021739;40.7
0.0022519;40.7
0.0026132;40.7
0.0036145;40.7
0.003106;46.4
0.0025755;46.4
0.0028348;46.4
0.0030259;46.4
0.0024773;46.4
0.0025524;46.4
0.0021019;46.4
0.002369;46.4
0.0033339;46.4
