tiempo;cpu
0.030128;41.4;fallas1;0
0.0048548;41.4;fallas2;0
0.008922;41.4;fallas3;0
0.0049636;86.5;fallas4;0
0.0064596;86.5;fallas5;0
0.0040891;86.5;fallas6;0
0.0048659;86.5;fallas7;0
0.0047391;86.5;fallas8;0
0.0044688;86.5;fallas9;0
0.0039927;75.7;fallas10;0
0.0082719;75.7
0.0028888;75.7
0.0030829;75.7
0.0032435;75.7
0.0051656;75.7
0.0044208;75.7
0.0033718;75.7
0.0037611;75.7
0.0030471;39.7
0.003145;39.7
0.0030779;39.7
0.004491;39.7
0.0036817;39.7
0.0036278;39.7
0.0044207;39.7
0.0043118;39.7
0.0034436;60.4
0.0037846;60.4
0.0029346;60.4
0.0029409;60.4
0.0035082;60.4
0.0030195;60.4
0.0038209;60.4
0.0034879;60.4
0.0030383;60.4
0.0033677;39.8
0.0032445;39.8
0.0025247;39.8
0.0030428;39.8
0.002951;39.8
0.0028763;39.8
0.0051484;39.8
0.0028233;39.8
0.0025647;39.8
0.0030024;41.1
0.0041658;41.1
0.0026645;41.1
0.0025715;41.1
0.0027959;41.1
0.0027047;30.4
0.0039662;30.4
0.0026526;30.4
0.0032472;30.4
0.0030993;30.4
0.0036032;30.4
0.0025738;25.3
0.0045907;25.3
0.0067913;25.3
0.0031553;25.3
0.0037899;25.3
0.0030985;26.7
0.0037187;26.7
0.0051308;26.7
0.0033778;26.7
0.0025103;26.7
0.0029965;32.0
0.0025137;32.0
0.0041281;32.0
0.0029813;32.0
0.0026702;32.0
0.0028916;32.0
0.0026279;28.1
0.0033792;28.1
0.0026804;28.1
0.0058338;28.1
0.0024764;28.1
0.0036399;26.0
0.0027371;26.0
0.0023992;26.0
0.0030951;26.0
0.03281;53.5
0.0039574;53.5
0.0041388;53.5
0.0037563;53.5
0.0045114;53.5
0.0041418;94.5
0.0039045;94.5
0.0039403;94.5
0.0035596;94.5
0.0034504;94.5
0.0055855;94.5
0.0043512;87.5
0.0039173;87.5
0.0038065;87.5
0.0070339;87.5
0.0037547;87.5
0.0035873;87.5
0.0033089;87.5
0.0032463;87.5
0.0031531;87.5
0.0025024;58.0
0.0025626;58.0
0.0038248;58.0
0.0023757;58.0
0.0032687;58.0
0.0026885;58.0
0.0023006;58.0
0.0024434;58.0
0.0025246;35.3
0.0025783;35.3
0.0026461;35.3
0.0033309;35.3
0.0024704;35.3
0.0025608;35.3
0.0030335;35.3
0.0030813;35.3
0.0033773;35.3
0.0024298;43.1
0.0132556;43.1
0.0028567;43.1
0.0028238;43.1
0.0029187;43.1
0.0035929;43.1
0.0025157;43.1
0.0024223;43.1
0.0024175;43.1
0.004591;43.1
0.0027504;43.1
0.0029329;43.1
0.0032858;43.1
0.0024731;43.1
0.0033273;27.7
0.0031074;27.7
0.0024387;27.7
0.0031159;27.7
0.0027699;27.7
0.003554;23.9
0.0035849;23.9
0.0024079;23.9
0.0037346;23.9
0.0024646;23.9
0.0048276;26.8
0.003084;26.8
0.0064181;26.8
0.0030934;26.8
0.002567;26.8
0.0032162;26.8
0.0030202;28.0
0.0022982;28.0
0.0025708;28.0
0.0023715;28.0
0.0023303;28.0
0.003617;40.9
0.002143;40.9
0.002556;40.9
0.0022898;40.9
0.003638;40.9
0.0024647;40.9
0.0026904;28.5
0.0031556;28.5
0.0266459;50.0
0.0044746;50.0
0.0031958;50.0
0.0041929;50.0
0.0035368;50.0
0.0038692;86.3
0.0057309;86.3
0.0030546;86.3
0.0036778;86.3
0.0025275;86.3
0.003786;86.3
0.0023004;76.1
0.0023299;76.1
0.0022295;76.1
0.0023564;76.1
0.0046686;76.1
0.0025552;76.1
0.004053;76.1
0.0023362;76.1
0.0031054;76.1
0.0027989;42.5
0.003362;42.5
0.0024448;42.5
0.0026609;42.5
0.0024148;42.5
0.0029201;42.5
0.0023111;42.5
0.0026974;42.5
0.0022773;42.5
0.0023553;38.8
0.0033674;38.8
0.0030099;38.8
0.0027082;24.3
0.0022601;24.3
0.0025784;24.3
0.0033227;24.3
0.0024163;24.3
0.0024156;24.3
0.0022524;24.3
0.0032856;29.4
0.002947;29.4
0.0035217;29.4
0.0029739;29.4
0.0029171;29.4
0.0023197;29.4
0.0024693;29.4
0.002228;29.4
0.0023831;29.4
0.0022819;40.6
0.002762;40.6
0.002393;40.6
0.0028928;40.6
0.0027849;40.6
0.0025363;40.6
0.0022774;40.6
0.0030874;40.6
0.002297;40.6
0.0023557;39.6
0.0038442;39.6
0.0031813;39.6
0.0021978;39.6
0.0042299;39.6
0.0030495;39.6
0.0035259;39.6
0.0050685;43.6
0.002746;43.6
0.0033325;43.6
0.002696;43.6
0.0025536;43.6
0.0031546;43.6
0.0021634;36.0
0.0034268;36.0
0.0020924;36.0
0.0023711;36.0
0.0022567;36.0
0.0031159;55.1
0.0037176;55.1
0.0023683;55.1
0.0032824;55.1
0.0022326;55.1
0.0313289;49.3
0.0035347;49.3
0.003851;49.3
0.0025737;49.3
0.0037481;49.3
0.0035462;49.3
0.0036813;89.5
0.0032322;89.5
0.0029672;89.5
0.0033174;89.5
0.0024884;89.5
0.0026338;89.5
0.003486;81.6
0.0032483;81.6
0.0132466;81.6
0.002831;81.6
0.0031248;81.6
0.0024017;81.6
0.0022648;81.6
0.0022583;64.6
0.0022095;64.6
0.0022975;64.6
0.0023832;64.6
0.0023169;64.6
0.0026492;64.6
0.0025129;64.6
0.0021961;64.6
0.0024755;64.6
0.0025189;42.5
0.002258;42.5
0.0022074;42.5
0.0027768;42.5
0.0028542;42.5
0.0022627;42.5
0.0036254;42.5
0.0023345;42.5
0.0026334;42.5
0.0029401;43.6
0.0022402;43.6
0.0022429;43.6
0.0022228;43.6
0.0023587;43.6
0.0029686;43.6
0.0022539;43.6
0.0025347;43.6
0.0027346;35.9
0.0022041;35.9
0.0027722;35.9
0.0031352;35.9
0.0028265;35.9
0.0027859;35.9
0.0023198;29.7
0.005514;29.7
0.007994;29.7
0.0021623;29.7
0.0022676;29.7
0.0032045;34.7
0.0042062;34.7
0.0032258;34.7
0.0023694;34.7
0.0040318;34.7
0.0023251;33.9
0.0026991;33.9
0.0046349;33.9
0.0154172;33.9
0.0021562;33.9
0.0034094;36.6
0.0030887;36.6
0.0028237;36.6
0.0035939;36.6
0.0028206;36.6
0.0026344;45.5
0.0021779;45.5
0.002179;45.5
0.0021459;45.5
0.002485;45.5
0.008307;32.4
0.002209;32.4
0.0034508;32.4
0.0022848;32.4
0.0239512;51.4
0.0035737;51.4
0.0032497;51.4
0.0045362;51.4
0.00339;51.4
0.0034428;51.4
0.0054416;78.1
0.0025352;78.1
0.0041333;78.1
0.0035946;78.1
0.0038175;78.1
0.0038554;87.6
0.00365;87.6
0.0045194;87.6
0.0060491;87.6
0.0034222;87.6
0.0023332;87.6
0.0025213;87.6
0.0021744;66.4
0.0023075;66.4
0.0023374;66.4
0.0022537;66.4
0.0031819;66.4
0.0022496;66.4
0.0024206;66.4
0.0027861;66.4
0.0023747;66.4
0.003394;48.0
0.0022275;48.0
0.0022708;48.0
0.0026432;48.0
0.0024856;48.0
0.002744;48.0
0.0021446;48.0
0.0027133;48.0
0.002222;48.0
0.0023315;47.2
0.0032707;47.2
0.0031563;47.2
0.0030961;47.2
0.003606;47.2
0.00511;47.2
0.0028238;47.2
0.0021206;46.8
0.0034602;46.8
0.0038387;46.8
0.0025422;46.8
0.0035601;46.8
0.0022988;28.5
0.0046181;28.5
0.0022709;28.5
0.002828;28.5
0.002479;28.5
0.0023156;35.2
0.0027681;35.2
0.0020574;35.2
0.0022249;35.2
0.0024156;35.2
0.0025575;27.1
0.002785;27.1
0.0046563;27.1
0.0037169;27.1
0.0037119;27.1
0.0045794;33.0
0.0033934;33.0
0.0020707;33.0
0.0028728;33.0
0.0062953;33.0
0.0025155;33.0
0.0023861;39.4
0.0023234;39.4
0.0024032;39.4
0.0020494;39.4
0.0032002;39.4
0.0023312;32.3
0.0031005;32.3
0.0037878;32.3
0.0020869;32.3
0.0031329;32.3
0.0026743;32.7
0.0272046;44.2
0.003511;44.2
0.0034687;44.2
0.0033261;44.2
0.0030835;44.2
0.0035608;44.2
0.0034699;88.6
0.0034397;88.6
0.0028567;88.6
0.0026292;88.6
0.0029157;88.6
0.0036311;86.1
0.0033667;86.1
0.0036832;86.1
0.0035231;86.1
0.0032335;86.1
0.0036395;86.1
0.0035029;86.1
0.0031847;87.1
0.0034947;87.1
0.0037035;87.1
0.0024453;87.1
0.0023317;87.1
0.0021926;87.1
0.0025922;87.1
0.0022323;87.1
0.00342;87.1
0.0021539;50.0
0.0022761;50.0
0.0021077;50.0
0.0022925;50.0
0.0027755;50.0
0.0020689;50.0
0.0021482;50.0
0.002268;50.0
0.0030049;50.0
0.0022435;44.0
0.002011;44.0
0.002193;44.0
0.0024526;44.0
0.0022361;44.0
0.0021625;44.0
0.0024629;44.0
0.0024425;44.0
0.0025091;44.0
0.0029711;35.8
0.0029993;35.8
0.0028282;35.8
0.0031709;35.8
0.002213;35.8
0.0028088;33.5
0.0021829;33.5
0.0023014;33.5
0.0031174;33.5
0.0032328;33.5
0.0023936;33.5
0.0024578;41.4
0.0035796;41.4
0.0027009;41.4
0.0043821;41.4
0.0032468;41.4
0.0034098;45.7
0.0036847;45.7
0.0026288;45.7
0.0164593;45.7
0.003158;45.7
0.003965;51.0
0.0036166;51.0
0.0021491;51.0
0.0033217;51.0
0.0037043;51.0
0.0020315;51.0
0.0021849;32.4
0.0021192;32.4
0.0021828;32.4
0.0026158;32.4
0.0053591;32.4
0.00222;30.8
0.0020658;30.8
0.0022853;30.8
0.0303265;47.3
0.0032161;47.3
0.0030882;47.3
0.0039508;47.3
0.0108309;47.3
0.0026015;47.3
0.0039351;47.3
0.0027518;82.9
0.0025028;82.9
0.0197146;82.9
0.0099916;82.9
0.0047021;82.9
0.0030993;82.9
0.0044124;86.0
0.0039136;86.0
0.0032244;86.0
0.0021807;86.0
0.0022511;86.0
0.0020531;86.0
0.0024316;86.0
0.0020657;86.0
0.0024196;86.0
0.0022468;36.0
0.0022926;36.0
0.0021231;36.0
0.0027345;36.0
0.0030055;36.0
0.0028456;36.0
0.0022404;36.0
0.0033562;35.9
0.0025472;35.9
0.0034876;35.9
0.0033655;35.9
0.0028708;35.9
0.0030738;35.9
0.0026409;35.9
0.0025342;35.9
0.0025443;54.7
0.0021307;54.7
0.0021479;54.7
0.0021529;54.7
0.0023542;54.7
0.002455;54.7
0.0030279;54.7
0.0025932;48.2
0.0028664;48.2
0.0025572;48.2
0.0027388;48.2
0.0029195;48.2
0.0030874;48.2
0.0030629;45.9
0.0031747;45.9
0.0036341;45.9
0.0021346;45.9
0.0037346;45.9
0.0022041;43.4
0.002847;43.4
0.0077278;43.4
0.0021374;43.4
0.0038559;43.4
0.0038041;43.4
0.0038556;54.9
0.0043355;54.9
0.0040526;54.9
0.0154526;54.9
0.0027648;54.9
0.002469;54.9
0.003304;33.8
0.0025111;33.8
0.0029137;33.8
0.0024298;33.8
0.0023912;33.8
0.0025064;33.8
0.0021043;24.3
0.0021341;24.3
0.0859106;24.3
0.0025959;24.3
0.0029599;24.3
0.0026785;38.9
0.0020196;38.9
0.0386931;62.1
0.0064702;62.1
0.0036139;62.1
0.0028892;62.1
0.0034943;62.1
0.0033004;62.1
0.0033512;80.4
0.0035856;80.4
0.0028432;80.4
0.0034253;80.4
0.0035789;80.4
0.0037054;92.5
0.0036954;92.5
0.0035904;92.5
0.0037876;92.5
0.0031147;92.5
0.0029003;92.5
0.0030429;92.5
0.0027918;92.5
0.0049007;74.4
0.0038568;74.4
0.0024058;74.4
0.00217;74.4
0.0021586;74.4
0.0021146;74.4
0.002368;74.4
0.0026258;74.4
0.0022276;74.4
0.0021332;47.3
0.0020681;47.3
0.0025234;47.3
0.0032799;47.3
0.0023303;47.3
0.0020795;47.3
0.0022763;47.3
0.0027213;47.3
0.0024736;47.3
0.0029682;47.3
0.0024379;35.3
0.0021969;35.3
0.0021525;35.3
0.0023179;35.3
0.0021948;35.3
0.0024587;35.3
0.0032881;35.3
0.0021377;35.3
0.0027014;31.1
0.0020169;31.1
0.0021205;31.1
0.0044203;31.1
0.0023741;31.1
0.002909;28.5
0.0029565;28.5
0.0021113;28.5
0.0025042;28.5
0.0020129;28.5
0.0028466;29.8
0.0043224;29.8
0.0024837;29.8
0.0022722;29.8
0.0028114;29.8
0.005252;29.9
0.0047033;29.9
0.0033442;29.9
0.0137923;29.9
0.0021954;29.9
0.0031228;29.9
0.0023457;31.3
0.0025202;31.3
0.0021138;31.3
0.002005;31.3
0.0028771;31.3
0.0021196;41.5
0.0025389;41.5
0.0023686;41.5
0.0034822;41.5
0.0057975;41.5
0.0029171;42.7
0.0035592;42.7
0.0027202;42.7
0.0263676;52.8
0.0038367;52.8
0.0023394;52.8
